gros subțire
naiv sofisticat
antipatic plăcut
avar nobil
prezent potențial
demoralizator vesel
sterilizat septic
leal necinstit
curat murdar
timpuriu toi
mijloc nevoiaș
minor major
prieten vrăjmaș
bine demoralizant
gazos lichid
dezgustător nepătat
bogat sărac
modest provocator
descurcăreț inocent
acceptabil neîngăduit
instabil susținut
empiric teoretic
chibzuit nesăbuit
firav solid
descurajant vesel
laș neînfricat
netulburat problematic
aton tonic
echitabil nejust
aton accentuat
inexistent prezent
endotermic exotermic
inechitabil just
inferior superior
neaccentuat tonic
capabil nepregătit
avar mărinimos
insensibil senzorial
corect rău
cosit netăiat
direct ocolit
modest ostentativ
dispus demoralizant
atractiv neatrăgător
apropiat îndepărtat
pleșuv păros
de eșuat
dezagreabil potrivit
demoralizator voios
ascuțit înfundat
toi târziu
ridicat redus
neprevăzut predictibil
lat mic
prezent viitor
capabil nechemat
redus ridicat
același alt
ascuțit înăbușit
neted rugos
mișcat neafectat
insignifiant semnificativ
frumos urât
bun uituc
delicat neajutorat
intermitent neîntrerupt
frapant invizibil
mândru modest
gravidă neînsărcinată
fin rugos
material nesubstanțial
modest mândru
actual potențial
neindicat potrivit
instabil solid
cromatic neutru
dispus deprimant
lin sprinten
căință impenitent
ușor vioi
binevenit inoportun
acerb moale
moale necruțător
ceresc pământesc
neglijent ordonat
drept inechitabil
important insignifiant
maniabil refractar
bălai oacheș
lin vioi
curent trecut
aseptic microbian
drept strâmb
efectiv ineficace
minor mare
imparțial părtinitor
nesăbuit socotit
biped patruped
calicie generos
hotărât indecis
evident neclar
mijloc sărac
brun blond
frapant nevăzut
slab viguros
minoritar majoritar
acceptabil inadmisibil
generos zgârcit
antipatic simpatic
miez întârziat
tare încet
neutru pozitiv
inodor mirositor
confuz fin
nefamiliar știut
grăsime gras
meritoriu nedemn
aspru molatec
corespunzător nepotrivit
brunet blond
unit împărțit
vertical înclinat
principal secundar
mobil neclintit
toi timpuriu
exotermic endoterm
demoralizator dispus
experimentat fără
plăpând solid
molatec necruțător
nesigur neîntrerupt
inocent vinovat
colateral direct
bălai brun
adecvat necorespunzător
majoritar minoritar
adipos slab
heterosexual invertit
autentic contrafăcut
asemănător diferit
de sărman
fin zgrunțuros
echivoc neambiguu
minuscul majuscul
gazos solid
bătrân tânăr
nerealist realistic
nou vechi
liber robit
controlabil dificil
liniștit probleme
acerb molatec
tulburat tihnit
fără moderat
greu ușor
cuminte necugetat
hirsut pleșuv
androgin femeiesc
blond negricios
deosebit similar
extensiv intensiv
major minor
experiență experimentat
amorțit energic
concav convex
lichid solid
inconstant statornic
blond brun
izbitor nevăzut
nevalabil valid
confuz sensibil
timpuriu tardiv
agale rapid
mărinimos zgârcit
amplu sărac
alfabetizat analfabet
bine deprimant
ireproșabil imperfect
binevoitor dușmănos
acerb molatic
luminos mat
păros pleșuv
clasă sărac
plin vid
afară interior
colțuros rotunjit
nesigur încrezător
asemănător deosebit
plat spumos
jucăuș serios
competent neinformat
cultivat needucat
neexistent prezent
problematic tihnit
necivilizat politicos
lung scurt
activ mort
ilicit legal
fracționar întreg
mobil nemișcat
amical ostil
neîmbrăcat înțolit
pastelat închis
laș viteaz
fecund steril
important neînsemnat
fără potrivit
suav stângaci
grațios stângaci
lax tensionat
semnificativ zadarnic
asigurat nesigur
constructiv distructiv
exterior intern
euforic nenorocit
decis ezitant
inadecvat potrivit
decisiv nedecis
convex scobit
agreabil inconfortabil
hotărât neclar
aproape depărtat
precedent următor
bisexual pederast
neputincios tare
necurat pur
cuviincios indecent
bont tăios
nelimitat redus
lat strâmt
brun bălai
incapabil priceput
clar nearticulat
drept neechitabil
mijloc timpuriu
solid șubred
impenitent plin
competent nepregătit
important minor
costisitor ieftin
bălai brunet
clandestin legal
frânt nespart
comun individual
aproape îndepărtat
mijloc sărman
comun neobișnuit
blond oacheș
capabil necompetent
ascuțit bont
corespunzător neadecvat
coerent ilogic
descurajator voios
dințat drept
nepregătit priceput
fecund nefertil
lipsă prezent
echivoc univoc
drept dințat
gras grăsime
domol rapid
deosebit înrudit
mat strălucitor
moderație moderat
neascultător obedient
potențial prezent
nesigur încredere
atrofiat mărit
pitic înalt
opac transparent
crud copt
dizgrațios nepătat
nerăbdător îndurător
demoralizant dispus
imprevizibil predictibil
activ pasiv
onest strâmb
formă nesănătos
disproporționat proporțional
abil nepriceput
neastâmpărat serios
analfabet știutor
echitabil nedrept
larg mic
prieten potrivnic
intermitent neîncetat
extraordinar obișnuit
nobil zgârcit
neutru negativ
acromat cromatic
demoralizant voios
moale tensionat
nedemn valoros
călduros răcoros
dizgrațios respectabil
intermitent necontenit
dezgustător respectabil
eficient ineficace
alb-negru color
central marginal
neîmbrăcat înveșmântat
ascuns deschis
copt verde
bisexual invertit
necomercial negustoresc
nepărtinitor parțial
meschin mărinimos
deprimant voios
fecund sterp
invariabil variat
incompetent priceput
neîndemânatic suav
descurajator încurajator
corect neonest
calic clasă
comod inconfortabil
mulțumit nesatisfăcut
aprins mort
inamic prieten
proaspăt sărat
compus simplu
timpuriu târziu
același diferit
corect strâmb
dinamic letargic
ascuțit tocit
ambiguu univoc
lejer tensionat
neschimbat schimbător
liniștit problematic
de sărac
moderat moderație
leal neonest
afirmativ negativ
microbian sterilizat
mulțumitor nesatisfăcător
accentuat aton
energic slab
relaxat încordat
domesticit neîmblânzit
dificil ușor
impotent tare
dezagreabil plăcut
direct închis
ager confuz
actual viitor
nebunesc înțelept
nesănătos salubru
scund înalt
important secundar
nemulțumit satisfăcut
natural nefiresc
inconstant susținut
prost sprinten
impredictibil previzibil
dezinfectat septic
cunoscut nefamiliar
corect greșit
monovalent polivalent
inflexibil mlădios
ager încâlcit
netulburat îngrijorat
neeficient productiv
sensibil încurcat
descurajator vesel
bogat mijloc
copt crud
nimerit nepotrivit
familiar neobișnuit
combinat simplu
calic de
moale tare
ager prost
incoruptibil incorect
steril septic
cu liniștit
determinant neînsemnat
endoterm exotermic
neprietenos tovărășesc
senin țâfnos
neinformat pregătit
blond tuciuriu
ireproșabil rău
calm furtunos
dispus descurajant
actual trecut
neadecvat potrivit
analog deosebit
izbitor invizibil
larg îngust
incert neîndoios
neintenționat voluntar
public privat
competent incapabil
plicticos vioi
tardiv timpuriu
ghinionist norocos
mijloc târziu
frământat ușor
analfabet de
animal mort
strâmt întins
tăios tocit
imperfect ireproșabil
apetisant neatrăgător
model simplu
majuscul minuscul
absent prezent
anterograd retrograd
borțoasă neînsărcinată
nechemat priceput
conștient neatent
perpendicular înclinat
nebunesc socotit
ineficient productiv
liber lipsit
corect necinstit
chibzuit nebunesc
deflaționist inflaționist
profund superficial
delicat stângaci
discontinuu necontenit
fecund infertil
convex concav
prost vioi
necorespunzător potrivit
incoruptibil necinstit
exotermic endotermic
eficace ineficient
bidimensional tridimensional
neclintit în
acceptabil nepermis
exact imprecis
incoruptibil neonest
alene rapid
lat îngust
nepotrivit nimerit
echitabil injust
primejdios sigur
luminos întunecat
concentric excentric
mijloc întârziat
ostil prieten
incomensurabil măsurabil
blond brunet
instabil neîntrerupt
diform proporționat
nevrednic valoros
homosexual heterosexual
animal neanimat
neînsemnat semnificativ
cutezător sfios
anost vioi
multilateral unilateral
drept încovoiat
integru necinstit
favorabil nepotrivit
prost repede
senin înnorat
septic sterilizat
avizat neinformat
central mărginaș
bombat concav
relaxat tensionat
endotermic exoterm
binevoitor ostil
integru necorect
domesticit sălbatic
dispus descurajator
cert nesigur
curent viitor
euforic nefericit
premergător următor
descurajant dispus
afurisit binecuvântat
găunos masiv
clasă nevoiaș
neserios încredere
septic steril
cu tihnit
abscons direct
dumnezeiesc pământesc
amplu modest
agitat ușor
păstrat proaspăt
neprevăzut previzibil
nepretențios ostentativ
negativ neutru
stângaci suav
limpede neclar
necugetat înțelept
integru incorect
nefiresc natural
animal inanimat
concis prolix
clasă sărman
sensibil încâlcit
neprietenos prietenesc
luminos obscur
grăbit urmă
