ruinat scăpătat
contestabil discutabil
excitabil pasional
emoționant mișcător
intra-grup intern
întunecat înnorat
exuberant eroic
fost vechi
minunat magistral
fascinant răpitor
docil smerit
nefalsificat original
brunet negricios
personal particular
eliptic oval
imobilizat la
meditativ rumegător
puternic profund
deprimant demoralizant
dur solid
vioi viață
torid înfocat
întortocheat șerpuit
rezonant răsunător
cumpănit calm
clasă care
descompus putred
artificial elaborat
desuet perimat
angular unghiular
cuprinzător încăpător
fatal ursit
multicolor policrom
presupus prezumtiv
de susținut
expansiv măreț
palpitant pasionant
buimac zăpăcit
răscolitor tulburător
cioturos noduros
diabolic demonic
umflat înfumurat
inanimat neanimat
nepregătit necompetent
obstinat persistent
pitic pipernicit
plecat smerit
cuceritor fermecător
năpăstuit oropsit
fervent înfocat
hipnotic hipnotizant
fals perfid
neliniștit neastâmpărat
greu însărcinat
fertil prolific
autohton intern
rupt zdrobit
demoralizant demoralizator
anume special
prejudiciabil vătămător
monoton plat
deșert găunos
bogat luxos
alienat anomic
năucitor stupefiant
coerent consistent
candid impecabil
dinspre larg
defavorabil negativ
categoric ferm
nesfârșit neîncetat
nenorocit nevoiaș
nevrotic neurotic
pur și
mâncat ros
trebuință trebuitor
decrepit slăbit
dulceag fad
neascultător neastâmpărat
mie o
jigărit răpciugos
deslușit explicit
stupefiat uluit
sleit vlăguit
candid inocent
analog înrudit
mândru trufaș
minunat uluit
barbar brutal
corupt nerușinat
băiat de
mănos îmbelșugat
plin remușcări
plin înțeles
parale trei
nemotivat nejustificat
categoric tranșant
apreciat evaluat
clar definit
colectiv obștesc
rău în
captivant extraordinar
mic umil
cu ușile
clandestin necurat
gustos savuros
îngâmfat înfumurat
abil bun
cuceritor fascinant
dezinfectat steril
secret ținut
nasul pe
neîntrerupt neîncetat
disproporționat inegal
cuvios smerit
ascuțit penetrant
sută unu
decăzut vicios
imperfect nedesăvârșit
ofilit veștejit
drastic spartan
meticulos riguros
crescut dezvoltat
idolatrizat venerat
egocentrist egoist
mizerabil nenorocit
discriminant discriminatoriu
ban în
secătuit sfârșit
fundamental principal
nejust neechitabil
neîntrebuințat nou
mitologic mitic
dizarmonic fals
ascultător smerit
energizant fortifiant
trufaș îngâmfat
denigrator defăimător
plin semințe
mânjit întinat
denivelat neregulat
rezervat rece
mijlociu mediu
ignorant simplu
ineficient ineficace
robust voinic
neîntrerupt perpetuu
echilibrat regulat
bun drăguț
infectat purulent
limbut vorbă-lungă
de doua
fad searbăd
robust viguros
nedecis nehotărât
agale domol
stabil trainic
tainic tăinuit
augur prielnic
pe practic
frapant spectaculos
evaziv ocolit
rodnic roditor
justificator justificativ
neutru obiectiv
fără speranță
necurmat neîntrerupt
categoric sigur
amorțit letargic
impresionant răscolitor
amănunțit detaliat
molatic molatec
granulos granular
generos mărinimos
depravat destrăbălat
pastoral păstoresc
musculos voinic
asasin ucigaș
întunecos întunecat
friabil sfărâmicios
ceasornic de
atent cald
firesc natural
concentrat vârtos
neînfricat viteaz
prăpădit scheletic
spate în
defăimat discreditat
frământat torturat
impulsiv năvalnic
convenabil potrivit
grozav groaznic
fals greșit
năucitor uluitor
necurmat veșnic
plastic pictural
distructiv nimicitor
irascibil nervos
inițiatic tainic
dictatorial despotic
de trebuință
urât închis
neascultător obraznic
compact dens
dispus doritor
lipsit viață
nesăbuit necugetat
lins întins
umbrit umbros
grosolan neprelucrat
netestat neverificat
disonant distonant
nedeslușit neclar
aprins flăcări
atotcuprinzător extins
neajutorat stângaci
ciudat necurat
apostolic pontifical
nebunesc smintit
fix static
nedeslușit încâlcit
regrete rău
neprevăzut neașteptat
neadecvat necorespunzător
solid temeinic
captivat extatic
imens uriaș
chinuit obsedat
ciudat nepământean
cuvios preacredincios
păcătos rău
recalcitrant încăpățânat
fix stabil
pieziș într-o
necugetat pripit
solid zdravăn
aprig năvalnic
mântuitor salvator
disponibil liber
fatal nenorocit
distribuit uniform
feroce furios
necalificat neșcolit
demodat perimat
neobrăzat nerespectuos
de ușor
pământesc teluric
inept tact
nedefinit nehotărât
grosolan nefinisat
aspru drastic
prietenos prietenesc
fezabil realizabil
antagonic antagonist
insesizabil imperceptibil
demoralizator descurajant
izolat tainic
denigrant vituperant
fără risc
episcopal eparhial
rezumativ succint
bestial fabulos
etern fără
neobișnuit nefiresc
susținere susținător
corporal material
nelocuit pustiu
arhetipal arhetipic
rezervat reținut
detestabil respingător
concesiv indulgent
ilegitim ilegal
101 unu
disonant discrepant
flotabil flotant
nesfârșit permanent
doritor dispus
discordant nearmonios
ascuțit acut
indecis nehotărât
pipernicit prizărit
fără sfârșit
corpolent obez
prezumtiv putativ
bun confortabil
juridic judecătoresc
necorect necinstit
vlăguit zdrobit
biet sărac
dezonorant rușinos
dosnic tainic
gratis gratuit
de folosit
adânc ascuțit
criptic ocult
bombat convex
galben îngălbenit
imbecil retard
lipsit libertate
posomorât urât
mlăștinos mocirlos
de seamă
necontenit permanent
nesfârșit neîntrerupt
conservat menținut
prins prizonier
idiot retard
controlabil verificabil
cutezător îndrăzneț
judiciar judecătoresc
aplecat adus
mare îmbelșugat
fariseic fățarnic
curent prezent
bădăran mitocan
vioi viu
neghiob nătărău
infim infinitezimal
așa-zis pretins
asemănător similar
jugănit scopit
grăunțos granular
dezordine în
grațios suav
chitit hotărât
de regrete
grav periculos
secat sleit
