gros subțire
completamente parțial
dinăuntru exterior
firește nenatural
spate înainte
imaginație imaginativ
dinspre est
fără rușinat
firesc remarcabil
arareori des
empiric teoretic
bine prost
fățiș indirect
nesocotit înțelepciune
dăunător inofensiv
binișor vioi
integral parțial
general special
corect sub
mai încet
jos supra
cei mai
rău respectabil
cei cel
folositor neajutorat
atent nepăsător
intern pe
involuntar intenționat
centură curat
special întâmplător
rapid încetișor
maximal minim
involuntar voie
cu tact
cu încrezător
agreabil neatrăgător
dedesubt deasupra
acoperit fățiș
lin sprinten
îndărăt înainte
imaginație inventiv
emoționant fără
accidental expres
anume întâmplător
potrivit plin
dinafară intern
lin vioi
ager lin
vioi încetișor
afară înăuntru
famat onorabil
de fără
greu maniabil
mult ușor
dinadins neintenționat
altă de
vioi încetinel
mai mic
nerezonabil temperat
cei puțin
nepăsător prudent
firesc neobișnuit
expres întâmplător
agil lin
târziu înainte
nerezonabil rațional
tare încet
drept imoral
fin ostentativ
corespunzător nepotrivit
bine rău
principal secundar
special în
plângăcios plângeri
cuvânt pe
acolo aici
cu inutil
imprudent prudență
evident imperceptibil
sprinten încetișor
posteriori priori
distractiv dezagreabil
nesimțitor sentiment
figurativ literalmente
amonte aval
acut cronic
fără modestie
mic mai
fără moderat
din potrivit
cel cea
imprecis limpede
scenă în
neîncredere încrezător
concav convex
anume neintenționat
agale rapid
naiv precaut
înadins întâmplător
clar echivoc
ireproșabil imperfect
o parte
ager încetișor
interior în
afară interior
dată indecis
inseparabil separat
naiv prevăzător
franc indirect
benign păgubitor
rușinat rușine
binișor repede
des rareori
necivilizat politicos
ilicit legal
nedrept pe
ager încetinel
agitat liniștit
scump sărac
agil încetinel
prostesc înțelept
aparte inseparabil
grăbit grabă
binaural monaural
ager domol
binevoitor răuvoitor
neonorabil onoruri
fără moderație
dinafară dinăuntru
exterior intern
distinct echivoc
nesocotit înțelept
decisiv indecis
de insuficient
fără succes
agil binișor
accidental dinadins
econom nechibzuit
priori posteriori
dinspre vest
drept pe
deslușit imprecis
iute încet
repede încet
agale repede
echivoc precis
cel puțin
agale sprinten
indecis pentru
captivant neinteresant
grai meditativ
clar neinteligibil
curat centură
cu insensibil
gust insipid
necontrolat sub
abstract concret
domol rapid
normal remarcabil
lin repede
cele mai
defensiv ofensiv
neascultător obedient
moderație moderat
cu prostesc
de plauzibil
agresiv defensiv
fără umoristic
justificabil neiertat
binișor sprinten
accidental special
întâmplător înadins
inofensiv jignitor
folos inutil
mai puțin
public în
aval amonte
mult puțin
corect pe
activ pasiv
disproporționat proporțional
frecvent rar
cuvânt nedrept
automat mână
insensibil sentiment
bunăvoie fără
sărac scump
mereu niciodată
ilegal licit
sprinten încet
eficient ineficace
nepotrivit trebui
pe parte
intenționat știință
descurajator încurajator
de verosimil
grabă grabnic
fără grabă
comod inconfortabil
spre în
agale agil
lin rapid
inofensiv neplăcut
amonte în
domol iute
nebunește rațional
moderat moderație
neascultător supus
cel mic
secundar în
niciodată pururi
aval contra
dezagreabil plăcut
grijă voie
agil încet
curat sub
amabil nepoliticos
concurențial necompetitiv
fără tact
particular public
ager încet
curentului în
corect greșit
frecvent rareori
de parte
atenție imprudent
domol repede
general îndeosebi
cu neentuziast
corect imoral
din vest
mare îngustime
accidental intenționat
alene repede
agale iute
accidental înadins
acoperit față
nesuferit plăcut
decorativ necuviincios
ambiguu neechivoc
impardonabil scuzabil
public privat
sus încet
modern neelegant
imperfect ireproșabil
neatrăgător plăcut
absolut parțial
rușine rușinat
cuprinzător incomprehensibil
figurativ literal
incorect îngrijit
grijă nepăsător
nesigur natural
bineînțeles nenatural
agil agale
plin potrivit
anume involuntar
convex concav
atent știință
agil alene
emoționant emoție
bine dezavantajos
eficace ineficient
fără plângăcios
neintenționat înadins
flexibil neclintit
credul precaut
înainte îndărăt
alene rapid
grabă în
zgomotos încet
fără în
inuman omenos
trist voios
dinăuntru pe
echivoc lămurit
modest pretențios
nerușinare rușinat
prostesc înțelepciune
de necuviincios
maniabil stăpânit
repede încetinel
din fericire
fără grăbit
măsurabil nemăsurat
cinstit centură
bine slab
iute lin
drăguț neatrăgător
constant instabil
cu neonorabil
niciodată întotdeauna
forte piano
nepermis permisiv
minim maxim
afară spre
nevătămător păgubitor
anume accidental
corect nedrept
cu mare
echivoc limpede
jenat nerușinare
cu în
de voie
inconștient lucid
naiv prudent
credul prudent
ager binișor
maximal minimal
deslușit echivoc
eficace infructuos
interior spre
agitat potolit
part-time întreagă
obligatoriu opțional
cu jenat
agil domol
cu succes
cu voie
cinstit nesincer
ambiguu inechivoc
cu nesocotit
culise scenă
liniștit tulburat
normal neobișnuit
domol vioi
domol sprinten
onorabil rău
din păcate
famat respectabil
fără jenat
neglijent prevăzător
automat la
încoace încolo
impecabil imperfect
respectabil rău
cu fără
distractiv nesuferit
altă pe
fără intenționat
alene agil
frică înfricoșat
sprinten încetinel
nefavorabil prielnic
docil neascultător
binișor rapid
nesăbuit înțelepciune
potolit tulburat
pe în
maxim minim
jenat rușine
centură corect
minimal maximal
deschis indirect
fără inventiv
alene iute
general în
nepriceput îndemânatic
central periferic
din est
încolo încoace
dezagreabil distractiv
înainte înapoi
just nedrept
inofensiv păgubitor
indecis o
parte pe
imperceptibil vizibil
circumspect nepăsător
alene ager
cu nepăsător
agreabil neplăcut
urmă înainte
estetic neatrăgător
altă parte
descurajant încurajator
ceremonios ireverențios
adecvat nepotrivit
cu știință
agreabil nesuferit
fericire păcate
distinct imprecis
o pe
necuviincios ornamental
credincios infidel
optimist pesimist
