subaltern superior
ascendent urmaș
consonanță dezacord
inocență vină
neputință înrâurire
maturizare stagnare
indisciplină obediență
frecvență înaltă
mintală sănătate
ameliorare decădere
superior subaltern
chibzuință nesăbuință
dezacord înțelegere
fiică flăcău
imposibilitate probabilitate
insucces realizare
mică măreție
legitimitate rău
izbândă înfrângere
neasemănare similitudine
lapte smântânit
minuscul majuscul
față pajură
hipertermie hipotermie
abstinent alcoolic
depresie exaltare
credincios persoană
slăbiciune vigoare
cod legislație
certitudine incredulitate
duritate moliciune
bărbăție sfială
personam sentință
centripetă forță
flegmă răspuns
anabolism dezasimilare
gol umplere
credință disperare
potrivnicie prietenie
gheenă rai
21 iarnă
comedie tragedie
bunăstare lipsă
consoană vocală
grăsan sfrijit
pauză timp
mătușă unchi
nepricepere potențial
mică majuscul
eterodox ortodox
de sanitate
interes neatenție
afluent braț
regină rege
amănuntul en
siguranță îndoială
de pauză
carenate pasăre
civilitate impolitețe
frumusețe urâțenie
indisciplină supunere
monoteism politeism
frică îndrăzneală
discreție deschidere
de solstițiu
fidelitate necredință
fiu fiică
credincios nereligioasă
activă pasivă
comoditate disconfort
impotență înrâurire
hipotonie hipertonie
coaliție neangajare
cooperare concurență
auroră apus
mărunțiș trebuință
hipoglicemie hiperglicemie
literă proporțional
frăgezime învechire
căldură răceală
oameni încredere
naștere spontan
femeiască parte
furtișag lovitură
răceală sensibilitate
emersiune imersiune
amestec neintervenție
capăt plecare
câștigător ghinionist
hipotiroidie hipertiroidism
descreștere ridicare
deschis interval
gospodar nevastă
circumspecție imprudență
1 rapid
cinstire dezonoare
capital minuscul
gratitudine nerecunoștință
maturitate în
sfială îndrăzneală
neatenție observație
perfidie veridicitate
moartă maree
justificare rău
catod negativ
dezarmare întrunire
apreciere depreciere
timiditate îndrăzneală
inconvenient superioritate
indisciplină smerenie
căldură frig
grăsan și
negativă pozitivă
ingratitudine recunoștință
avort naștere
neputință potențialitate
blam recomandare
alianță nealiniere
concav convex
capacitate placiditate
amănuntul gros
femeie iubit
caracter indistincție
măreție mică
gospodar soție
perimare prospețime
memorie nevolatilă
meticulozitate nepăsare
exagerare jumătate
hipopigmentare hiperpigmentare
desăvârșire imperfecțiune
migăleală nepăsare
cordialitate dispoziție
adunare dezarmare
export import
avers pajură
elitist egalitarist
consoană continuă
opacitate transparență
mascul parte
limpezime opacitate
final start
neînfricare spaimă
alicotă parte
falsitate sinceritate
iscusință incapacitate
capacitate flegmă
alienație luciditate
bună proastă
luminozitate obtuzitate
adult juvenilă
bot spate
hotărâre nesiguranță
favorizare imparțialitate
condamnare recomandare
atracție forță
perfidie veracitate
negativism pozitivism
fiasco succes
plăcere suferință
deflație descreștere
lumină întuneric
de gravitație
apă sărată
prospețime perimare
depresie neurotică
altorelief basorelief
răutate voie
incapacitate iscusință
amator sportiv
nevoie nimic
adecvare nepotrivire
de periapsis
frământare rece
lățire strâmtare
extensor flexor
gravitație respingere
exigență inconștiență
serală zi
îndoială încredere
necinste stimă
conformare nesupunere
artificial limbaj
deschidere mărginire
distopie utopie
de iunie
disensiune pace
deflație economic
sânge zbucium
civilă minorat
generozitate zgârcenie
persoană stoic
creditor datornic
bunăstare nevoie
creștere micșorare
de proporțional
experiență lipsă
finețe meschinărie
minimum maxim
conveniență incomoditate
loialitate necredință
frică semeție
notă pierdere
belșug lipsă
abstinent bețiv
asprime catifelare
nonconformism uniformitate
negativă sarcină
îndreptare îndoire
demență luciditate
nevinovăție vină
noapte zi
câștigător perdant
patologică sănătate
existență neființă
desconsiderare stimă
conformare indisciplină
general specific
bani scumpi
copil fiică
periapsis punct
economică inflație
cumpănă dezechilibru
minoritate majoritate
izolare legătură
internațional zbor
deflație economică
destoinicie inabilitate
maree înaltă
analitică sinteză
dezvoltare regres
nimic nevoie
nesiguranță securitate
concepție idee
apoapsis punct
fățărnicie veracitate
hipertiroidie hipotiroidie
ameliorare decadență
nepăsare scrupulozitate
cusur valoare
chemat voluntar
asimilație catabolism
bisericească nespecialist
de speranță
flexor mușchi
de sfârșit
deznaționalizare etatizare
bunăvoință neplăcut
gentilețe rea-voință
majuscul mică
implicare neparticipare
curățenie dezordine
bună-cuviință indecență
infamie renume
inexistență prezență
ascuțit dreptunghic
donator zgârcit
creștere scădere
angajator slujbaș
beneficiu deficit
incapacitate potențial
față verso
avantaj penalizare
rapid termal
pasivitate vlagă
comoditate inconfort
câștig pierdere
inconfort tihnă
neascultare smerenie
pierdere profit
mare mică
enciclopedist expert
agitație sânge
câștigător nenorocos
decizie șovăială
chestiune răspuns
hipotiroidism hipertiroidie
descreștere suiș
aprovizionare cerință
dezvoltare stagnare
iad rai
exogamie endogamie
deplinătate incompletitudine
neînfricare temere
insatisfacție mulțumire
etatizare privatizare
mamă tată
grijă neatenție
ascuțime tocit
carenate nezburătoare
congruență nepotrivire
circuit deschis
prelungire timp
hipotensiune hipertensiune
capăt de
asfințit zori
merit meteahnă
bunăstare supărare
continuare discontinuitate
call opțiune
disciplină nesupunere
personaj pozitiv
cutezanță timiditate
considerație respect
concurență cooperație
frivolitate gravitate
bune grosolănie
de iarnă
cinstire respect
nordic sudic
afinitate consanguinitate
considerație necuviință
acromatică spectrală
maniere necuviință
deosebire similitudine
creștere regres
inamovibilitate mobilitate
impotență virilitate
de implicită
capacitate nepăsare
liniște sunet
grăsan pricăjit
respect stimă
față profan
inconștiență meticulozitate
hipertensiune hipotensiune
lucru zilei
includere înlăturare
drept unghi
de tembelism
confirmare întâmpinare
hiperglicemie hipoglicemie
disensiune înțelegere
merit neajuns
reptilă reptile
sfială temeritate
antipatic bunătate
flexibilitate rigiditate
continuă consoană
necinste vază
degradare promovare
mare minuscul
cinstire de
confluent ramură
yang yin
iscusință nepricepere
culoar întâi
decădere mărire
acuzat reclamant
hipotiroidism hipertiroidism
dispoziție veselie
grăsan os
diferență potrivire
emotivă stoic
amor dușmănie
ruptură raportare
deprimare exaltare
de răceală
energie inactivitate
nepăsare reacție
grație neîndemânare
final început
finitudine infinit
coborâre urcuș
alopatie homeopatie
echitate injustiție
personam rem
cusur merit
falsitate veracitate
minimum maximum
luciditate sminteală
convergență serie
dezinteres grijă
finitudine nesfârșire
majuscul minuscul
neființă prezență
notă universalitate
curaj frică
caritate răutate
cuvioșie necredință
dispoziție răutate
bunăstare sărăcie
hotărâre șovăială
impasibilitate reacție
franchețe mitomanie
proastă veselie
necredință siguranță
adult tânăr
apărare acuzare
parte stânga
amărăciune bucurie
aeriană poștă
descreștere urcat
contracție mărire
joasă maree
nepăsare sensibilitate
constanță nestatornicie
intelectualism naivitate
call de
sensibilitate tembelism
acord neînțelegere
neputință putere
optimism pesimism
slabă superioritate
limbaj limbă
aprobare stigmatizare
teorie teoria
destoinicie incapacitate
capitalism socialistă
bobină stator
sfârșit început
alternativ curent
armonie stridență
rotor stator
atracție de
alcalinitate aciditate
avantaj neajuns
decizie ezitare
micime mărime
neînfricare timiditate
atomism teorie
bani ieftini
imuabilitate mutabilitate
interes nepăsare
sfios viteaz
armonie dezacord
bogăție mizerie
minuscul mare
cinstire necinste
operații secvențiale
bune ireverență
loialitate lipsă
falsitate veridicitate
profit pierdere
deschidere discreție
tanti unchi
de economie
hipersomnie nesomn
bunăstare mizerie
inconștiență scrupulozitate
băiat fiică
naștere pierderea
evoluție involuție
declin mărire
bot dos
reclamant învinuit
profunzime superficialitate
asfințit auroră
impas prosperitate
juvenilă om
sol voleu
concurență cooperare
spontan viu
limbă limbaj
lipsă tact
antipatic bunăvoință
exterior interior
pârât reclamant
necaz prosperitate
solemnitate ușurătate
creditor debitor
neîncredere siguranță
neajuns superioritate
eficiență ineficacitate
avort viu
nimic trebuință
fecior fiică
coaliție neutralitate
eliminare includere
dos față
claritate transluciditate
bonitate insolvență
extrasezon vârf
meteahnă valoare
luciditate smintire
reptile reptilă
de zilei
compresiune decomprimare
organism sarcinii
celulă electrolitică
lipsă merit
decizie nesiguranță
control năvalnic
de serală
minimalizare maximizare
conștiință inconștiență
greșită noțiune
maximum minim
apus răsărit
susținător vrăjmaș
umiditate uscăciune
degenerare evoluție
prietenie potrivnicie
civil ostaș
compresie decomprimare
relaționare ruptură
nestatornicie stabilitate
decizie nehotărâre
scepticism securitate
față fund
armonie conflict
font literă
de opțiune
teamă încumetare
ateism cucernicie
eșec reușită
comunitate individualitate
ascuțime bont
recunoaștere respingere
inamic susținător
infamie prestigiu
naștere sfârșit
gros vânzare
temeritate temere
prețuire respect
fixitate mutabilitate
cuvioșie impietate
activă alianță
clasicist romantic
mincinos normal
inamic sprijinitor
de stator
celulă pilă
depigmentare pigmentație
nenorocos învingător
de sănătate
apă dulce
dușmănie dragoste
cod internațională
de flegmă
hipertiroidism hipotiroidism
disforie euforie
de stimă
cortex măduvă
fericire nenorocire
apă saramură
prosperitate sărăcie
necredință încredințare
băiat fată
eucariot procariot
agitație tihnă
încheiere începere
ordine tulburare
masochist sadic
băgare imprudență
de gramaticală
credință incredulitate
stricăciune stare
interval închis
dragoste dușmănie
insensibilitate răspuns
de solstițiul
capital venial
amator profesionist
decădere evoluție
disperare speranță
sciziune unificare
tineret vârstnic
eficacitate ineficiență
fiică fiu
apărare urmărire
plural singular
indirectă probă
deferență ireverență
dezavantaj superioritate
bunăvoință nesuferit
majoritate minoritate
dezumflare gonflare
conducător următor
dezaprobare recomandare
acord conflict
spontan unui
majorat minorat
sine încredere
siguranță scepticism
suprafață submersibil
flashback prolepsă
activă pasiv
minoră majoră
femelă mascul
comprimare decompresie
atracție respingere
albeață negreală
naționalizare privatizare
comercială manual
