face frumos
incapacitate potențial
bună rea
creștere tăiere
incapacitate pricepere
însoți divide
cuvenit neindicat
descreștere deflație
curtoazie grosolănie
in sentință
nerăbdare îngăduință
agrava întrema
plăsmuit real
nesincer sincer
insuficient suficient
de neserios
element electrolitică
circumspect nepăsător
cu degeaba
abil ingenuu
nadir zenit
frecvent rar
maree moartă
deflație economică
greșeală gramaticală
desface strâns
dura face
frecvent rareori
inconstant neîntrerupt
inofensiv neplăcut
bine slab
despuia înveșmânta
arabă romană
prost repede
imparțial părtinitor
fermitate nesiguranță
incita stăpâni
includere îndepărtare
albi înnegri
da reuși
duce veni
nesuferit plăcut
insecuritate securitate
juvenilă om
exploda implozie
batjocori onora
nesocoti în
a sarcinii
decorativ necuviincios
subaprecia supraevalua
loialitate lealitate
picioare întins
netulburat îngrijorat
beneficia pierde
coborî ridica
necredință încredințare
dârzenie sfială
așeza scula
accelera încetini
aton tonic
cunoscut nefamiliar
măreție mică
liniștit probleme
plin potrivit
amănuntul cu
menține profita
gol plin
dărnicie zgârcenie
pricepere prostie
clădi cu
concis prolix
maniabil refractar
eventual imposibil
meschin mărinimos
binedispune plânge
grație stângăcie
fața în
finețe tocit
calic clasă
inconstant susținut
extensor mușchi
ponta plecare
de echinocțiu
putere slăbiciune
call de
anihila ratifica
lizibil nedescifrabil
disprețui linguși
nesupunere obediență
agitație răgaz
contamina decontamina
seriozitate trece
atent vederea
destinde încorda
constructiv distrugător
avantaja defavoriza
deznoda prinde
ridicat statut
insecuritate siguranță
neputincios tare
notorietate neștiință
echinocțiu primăvară
deprimant vesel
minim maxim
insucces succes
mări restrânge
gol plenitudine
elucida întuneca
energie inerție
deserviciu serviciu
eterogenitate omogenitate
fiasco reușită
euforic nefericit
desființa propune
colateral direct
lărgi strâmta
delicat stângaci
influență neputință
nebunesc socotit
special în
din dinspre
minim record
dinspre vest
la voleu
acapnie hipercapnie
deslușit echivoc
regină suveran
fleac necesitate
septic sterilizat
nevinovăție vină
deschide întrerupe
contraindica indica
curma perpetua
brav laș
avar generos
concepție idee
flegmă sensibilitate
subordonat superior
despera nădăjdui
superior subaltern
senin țâfnos
pauză timp
teamă încumetare
aranja deranja
inechitabil just
solstițiul solstițiu
incoruptibil necorect
prosopul participa
hiperglicemie hipoglicemie
bombat concav
lapte smântânit
noutate vechime
inocent vinovat
start sfârșit
clasă calic
bună-cuviință indecență
noros senin
admite nega
asigura neliniști
drept dințat
binișor vioi
achitare condamnare
devaloriza aprecia
involuntar intenționat
neîndemânatic suav
notă universalitate
disponibil indisponibil
credință incredulitate
disciplină nesupunere
bărbătesc nebărbătesc
picioare ședea
insensibilitate reacție
luminos obscur
minți trezi
scula sta
fără optimist
flămânzi plin
atrofiat mărit
deprima înălța
descărca umple
câștigător perdant
flata nesocoti
preda opune
compresiune decomprimare
operații paralele
grupa scinda
îmbunătăți înăspri
disprețui măguli
bisexual invertit
bine rău
netulburat probleme
cu spate
inconfort tihnă
amabil urât
securitate îndoială
potrivi dezaproba
admite respinge
controlabil dificil
neîncredere securitate
electrolitică voltaică
neindicat potrivit
călduros răcoros
potoli stimula
boicota face
comprima decomprima
uita ține
domoli entuziasma
consimți părere
de punct
vederea în
hotărât nehotărât
agale iute
lichid solid
creștere diminuare
nevolatilă volatilă
corectitudine impropriu
accidental intenționat
hotărâre indecizie
spontan unui
deprimare exaltare
demonstrativ modest
intoleranță permisivitate
familiar neobișnuit
nemulțumit satisfăcut
acerb molatec
blam recomandare
grăsan os
rapid reactor
cinstit strâmb
alb negru
elibera încadra
elimina include
complet necomplet
urbană țară
enciclopedist specialist
statut superior
scula jos
drege face
continuă oclusivă
relaxa tensiona
adipos slab
istovi împrospăta
amuți liber
decisiv nedecis
uni dezmembra
concentrare diluare
formă inform
invalida susține
organism pierderea
fermitate instabilitate
cuminte nesăbuit
pleca sta
noroc nenorocire
necorespunzător potrivit
ireverență stimă
invulnerabilitate vulnerabilitate
culca fază
termina începe
hades rai
jos în
yin yang
alicotă parte
altruism egotism
afirmativ negativ
păstrat proaspăt
praf repara
de zilei
pierderea unui
mereu niciodată
fragil solid
afurisi da
realiza rata
irelevanță relevanță
întrema agrava
aprobare condamnare
neseriozitate încredere
font literă
bogat sărac
interior spre
ameliora înrăutăți
complex simplu
păgubos învingător
dezinfecta infecta
dinainte păstra
declara legaliza
convergență divergentă
dezlega prinde
neorânduială ordine
la vinde
atenție neatenție
curățenie mizerie
dăunător inofensiv
eventual improbabil
gura lua
aprinde stinge
punct periapsis
part-time întreagă
de pauză
frăgezime învechire
molatec necruțător
loial neloial
natural supranatural
descărca încărca
termina porni
ascuțime tocit
lua pica
neschimbat schimbabil
celulă element
negativ neutru
neregularitate regularitate
energie inactivitate
deprecia aprecia
extrage pune
cald rece
arunca participa
înrola elibera
fățărnicie sinceritate
extinde micșora
necinste onoare
incertitudine siguranță
indisciplină supunere
nefiresc natural
pierde ține
costeliv grăsan
restrânge înmulți
adormi trezi
năvalnic stăpânire
