Parcul_Național_din_Munții_Stâncoși Stâncoși
pui vultur
atribut particularitate
condamnare sentință
cântăreț menestrel
țesut_nervos țesut
organizație organizație_internațională
Peninsula_Qatar Qatar
linie linie_de_margine
torero toreador
acrobat pilot_acrobat
da da_în_judecată
Genul_Thunnus Thunnus
cotlet_de_porc porc
fetișoară fetică
respinge refuza
asemănător înrudit
esențial elementar
nicio pentru
orienta trimite
Thomas_Lanier_Williams Tennessee_Williams
desăvârșire perfecționare
pirpiriu prăpădit
centru_respirator respirator
mintea_cocoșului minte
număr_de_persoane persoane
ladă ladă_de_gunoi
burduși îndesa
an clasă_terminală
bine distinct
de departe
[se] tocmi [se] certa
bisericii părinte
împușcătură_în_cap în
energie spirit_întreprinzător
de prăjitură_cu_ciocolată
scaun_de_frizerie scaun
portocalul_cu_trei_frunze trifoliata
regizor regizor_de_teatru
balon_cu_aer_cald cald
soldățime trupă
arteriosus ductus
de luptător
exclude elimina
calm sigur
de fixa_de_pământ
prigoană persecuție
castrare scopire
boală_contagioasă boală_transmisibilă
agent_dublu agent
Sidney Sidney_Webb
cost_de_înlocuire înlocuire
[se] considera lua
istorisi relata
sistem_de_transmitere transmitere
Elwyn_Brooks_White E.
drept_de_trecere de
ucigaș în
conivență fi_de_conivență
a apelor
nerafinat zahăr_brun
conveniență de
urma veni
gândac gândac_de_frunză
studio studio_de_înregistrări
reface reconstitui
Etiopia Republica
Maria Maria_Stuart
entuziasm voie
1_aprilie ziua
capital câștig
Nicaragua republica_Nicaragua
eliminare suprimare
turn turn_de_apă
imediat imediat_după
de plin_de_satisfacții
alimenta alimenta_cu_combustibil
dunga vărga
golf minge_de_golf
inel_de_logodnă inel
cadavre jefuitor_de_morminte
bărbierit ras
bun nealterat
afiș reclamă
[se] forma prinde_contur
corobeață scoroambă
costum_de_înot costum
venit_intern venit
LAN locală
Galileo Telescopul_lui_Galileo
John Maynard
|-și| face_drum |-și| face
gând sentiment
guvern miniștri
căuta umbla
doi turul
calmare temperare
minge minge_de_handball
rachetă rachetă_de_croazieră
Apocrife Cărțile_Apocrife
melon pălărie
Tatăl Tatăl_Nostru
Paul Peter_Paul_Mauser
haină haină_de_ocazie
